K,n,error.ssc2
2,2048,0.0048828125
2,2048,0.0087890625
2,2048,0.005859375
2,2048,0.0029296875
2,2048,0.005859375
2,2048,0.0048828125
2,2048,0.00634765625
2,2048,0.0107421875
2,2048,0.005859375
2,2048,0.00439453125
2,2048,0.00830078125
2,2048,0.005859375
2,2048,0.0068359375
2,2048,0.00537109375
2,2048,0.00830078125
2,2048,0.00732421875
2,2048,0.0078125
2,2048,0.00830078125
2,2048,0.00830078125
2,2048,0.00732421875
2,2048,0.00439453125
2,2048,0.0068359375
2,2048,0.0068359375
2,2048,0.00634765625
2,2048,0.00830078125
2,2048,0.01220703125
2,2048,0.0126953125
2,2048,0.00537109375
2,2048,0.01171875
2,2048,0.005859375
2,2048,0.00634765625
2,2048,0.00537109375
2,2048,0.00634765625
2,2048,0.0078125
2,2048,0.00634765625
2,2048,0.0078125
2,2048,0.0107421875
2,2048,0.0078125
2,2048,0.0087890625
2,2048,0.005859375
2,2048,0.00830078125
2,2048,0.005859375
2,2048,0.0068359375
2,2048,0.00390625
2,2048,0.00927734375
2,1024,0.0126953125
2,1024,0.0126953125
2,1024,0.0087890625
2,1024,0.0146484375
2,1024,0.0166015625
2,1024,0.0078125
2,1024,0.0166015625
2,1024,0.0205078125
2,1024,0.0107421875
2,1024,0.017578125
2,1024,0.0185546875
2,1024,0.0146484375
2,1024,0.0146484375
2,1024,0.013671875
2,1024,0.01171875
2,1024,0.017578125
2,1024,0.01953125
2,1024,0.0205078125
2,1024,0.017578125
2,1024,0.0244140625
2,1024,0.015625
2,1024,0.0166015625
2,1024,0.0205078125
2,1024,0.015625
2,1024,0.021484375
2,1024,0.021484375
2,1024,0.0224609375
2,1024,0.021484375
2,1024,0.01171875
2,1024,0.01171875
2,1024,0.0185546875
2,1024,0.0107421875
2,1024,0.0166015625
2,1024,0.0205078125
2,1024,0.0107421875
2,1024,0.0126953125
2,1024,0.0322265625
2,1024,0.0146484375
2,1024,0.0126953125
2,1024,0.005859375
2,1024,0.0146484375
2,1024,0.013671875
2,1024,0.0126953125
2,1024,0.01953125
2,1024,0.01953125
2,1024,0.0205078125
2,1024,0.013671875
2,1024,0.0224609375
2,1024,0.0126953125
2,1024,0.009765625
2,512,0.03515625
2,512,0.03125
2,512,0.05078125
2,512,0.029296875
2,512,0.029296875
2,512,0.037109375
2,512,0.037109375
2,512,0.03125
2,512,0.041015625
2,512,0.0546875
2,512,0.056640625
2,512,0.0390625
2,512,0.029296875
2,512,0.015625
2,512,0.021484375
2,512,0.060546875
2,512,0.03515625
2,512,0.037109375
2,512,0.046875
2,512,0.03125
2,512,0.033203125
2,512,0.037109375
2,512,0.0390625
2,512,0.0234375
2,512,0.076171875
2,512,0.03515625
2,512,0.021484375
2,512,0.03125
2,512,0.025390625
2,512,0.037109375
2,512,0.03125
2,512,0.013671875
2,512,0.029296875
2,512,0.03125
2,512,0.03125
2,512,0.015625
2,512,0.03515625
2,512,0.033203125
2,512,0.033203125
2,512,0.03125
2,512,0.041015625
2,512,0.029296875
2,512,0.03515625
2,512,0.01953125
2,512,0.07421875
2,512,0.064453125
2,512,0.029296875
2,512,0.029296875
2,512,0.029296875
2,512,0.033203125
2,256,0.109375
2,256,0.10546875
2,256,0.2109375
2,256,0.05859375
2,256,0.04296875
2,256,0.06640625
2,256,0.09765625
2,256,0.0625
2,256,0.1640625
2,256,0.0625
2,256,0.05859375
2,256,0.05859375
2,256,0.0703125
2,256,0.109375
2,256,0.04296875
2,256,0.09375
2,256,0.05078125
2,256,0.05859375
2,256,0.06640625
2,256,0.02734375
2,256,0.046875
2,256,0.08203125
2,256,0.0859375
2,256,0.125
2,256,0.03125
2,256,0.04296875
2,256,0.06640625
2,256,0.10546875
2,256,0.10546875
2,256,0.078125
2,256,0.05078125
2,256,0.03515625
2,256,0.0390625
2,256,0.1015625
2,256,0.1171875
2,256,0.046875
2,256,0.03125
2,256,0.0546875
2,256,0.03515625
2,256,0.12109375
2,256,0.07421875
2,256,0.0390625
2,256,0.0625
2,256,0.046875
2,256,0.08984375
2,256,0.08203125
2,256,0.0390625
2,256,0.06640625
2,256,0.046875
2,256,0.05859375
2,128,0.15625
2,128,0.1796875
2,128,0.2578125
2,128,0.078125
2,128,0.1640625
2,128,0.140625
2,128,0.1796875
2,128,0.2890625
2,128,0.1015625
2,128,0.0546875
2,128,0.15625
2,128,0.25
2,128,0.1015625
2,128,0.03125
2,128,0.375
2,128,0.25
2,128,0.2265625
2,128,0.078125
2,128,0.1953125
2,128,0.1640625
2,128,0.140625
2,128,0.2265625
2,128,0.3671875
2,128,0.265625
2,128,0.1640625
2,128,0.1015625
2,128,0.1328125
2,128,0.1328125
2,128,0.125
2,128,0.15625
2,128,0.2265625
2,128,0.21875
2,128,0.3984375
2,128,0.1328125
2,128,0.171875
2,128,0.1015625
2,128,0.140625
2,128,0.1796875
2,128,0.2265625
2,128,0.140625
2,128,0.125
2,128,0.234375
2,128,0.15625
2,128,0.125
2,128,0.1640625
2,128,0.0234375
2,128,0.1484375
2,128,0.359375
2,128,0.1796875
